movie name,imdb name,year,description,trailer link,movie id,imdb score,rotten score,cinema score,user score
The Addams Family (2019),The Addams Family,2019,"The Addams Family is a movie starring Oscar Isaac, Charlize Theron, and Chloë Grace Moretz. An animated version of Charles Addams' series of cartoons about a peculiar, ghoulish family.",https://www.imdb.com/video/imdb/vi3428563993,tt1620981,NA,,Cinemascore,NA
The Cotton Club Encore,NA,2019,NA,NA,NA,NA,,Cinemascore,NA
The King,The King,2019,"The King is a movie starring Robert Pattinson, Timothée Chalamet, and Ben Mendelsohn. Hal, wayward prince and heir to the English throne, is crowned King Henry V after his tyrannical father dies. Now the young king must navigate...",https://www.imdb.com/video/imdb/vi3686121241,tt7984766,6.4,77,Cinemascore,NA
Jay and Silent Bob Reboot,Jay and Silent Bob Reboot,2019,"Jay and Silent Bob Reboot is a movie starring Chris Hemsworth, Matt Damon, and Ben Affleck. Jay and Silent Bob return to Hollywood to stop a reboot of 'Bluntman and Chronic' movie from getting made.",NA,tt6521876,NA,,Cinemascore,NA
By The Grace Of God,Grâce à Dieu,2019,"Grâce à Dieu is a movie starring Melvil Poupaud, Denis Ménochet, and Swann Arlaud. The three men, friends of childhood, will cross, compare their personal experiences and question their life of couple, family and professional.",https://www.imdb.com/video/imdb/vi2285091353,tt8095860,7.3,93,Cinemascore,NA
"Cyrano, My Love",Edmond,2019,"Edmond is a movie starring Thomas Solivérès, Olivier Gourmet, and Mathilde Seigner. December 1897, Paris. Edmond Rostand is not yet thirty but already two children and a lot of anxieties. He has not written anything for two years....",https://www.imdb.com/video/imdb/vi489667097,tt7201846,7.5,,Cinemascore,NA
JoJo Rabbit,Jojo Rabbit,2019,"Jojo Rabbit is a movie starring Roman Griffin Davis, Thomasin McKenzie, and Scarlett Johansson. A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home.",https://www.imdb.com/video/imdb/vi2663366425,tt2584384,7.0,78,Cinemascore,NA
Maleficent 2,Maleficent: Mistress of Evil,2019,"Maleficent: Mistress of Evil is a movie starring Angelina Jolie, Elle Fanning, and Imelda Staunton. Maleficent and her goddaughter Aurora begin to question the complex family ties that bind them as they are pulled in different...",https://www.imdb.com/video/imdb/vi2618932249,tt4777008,NA,,Cinemascore,NA
The Lighthouse,The Lighthouse,2019,"The Lighthouse is a movie starring Willem Dafoe, Robert Pattinson, and Valeriia Karaman. The hypnotic and hallucinatory tale of two lighthouse keepers on a remote and mysterious New England island in the 1890s.",https://www.imdb.com/video/imdb/vi195542809,tt7984734,7.9,94,Cinemascore,NA
Zombieland 2,Zombieland: Double Tap,2019,"Zombieland: Double Tap is a movie starring Zoey Deutch, Emma Stone, and Abigail Breslin. Columbus, Tallahasse, Wichita, and Little Rock move to the American heartland as they face off against evolved zombies, fellow survivors, and...",https://www.imdb.com/video/imdb/vi1969863705,tt1560220,NA,,Cinemascore,NA
Black and Blue,Black and Blue,2019,"Black and Blue is a movie starring Mike Colter, Frank Grillo, and Reid Scott. 'Black and Blue' is an action thriller about a rookie cop (Naomie Harris) who inadvertently captures the murder of a young drug dealer on her body cam....",https://www.imdb.com/video/imdb/vi2955394073,tt7390646,5.5,,Cinemascore,NA
Countdown,Countdown,2019,"Countdown is a movie starring Charlie McDermott, Anne Winters, and Elizabeth Lail. When a nurse downloads an app that claims to predict the moment a person will die, it tells her she only has three days to live. With the clock...",https://www.imdb.com/video/imdb/vi2813181721,tt10039344,NA,,Cinemascore,NA
Filibus (1915),NA,2019,NA,NA,NA,NA,,Cinemascore,NA
Frankie,Frankie,2019,"Frankie is a movie starring Isabelle Huppert, Sennia Nanua, and Ariyon Bakare. Three generations grappling with a life-changing experience during one day of a vacation in Sintra, Portugal, a historic town known for its dense gardens...",https://www.imdb.com/video/imdb/vi1866972185,tt8019694,5.6,59,Cinemascore,NA
Making Waves: The Art of Cinematic Sound,Making Waves: The Art of Cinematic Sound,2019,"Making Waves: The Art of Cinematic Sound is a movie starring Erik Aadahl, Ioan Allen, and Richard L. Anderson. An exploration of the history, artistry, and emotional power of cinema sound, as revealed by legendary sound designers...",NA,tt3856408,8.0,100,Cinemascore,NA
Paradise Hills,Paradise Hills,2019,"Paradise Hills is a movie starring Eiza González, Emma Roberts, and Danielle Macdonald. A mysterious boarding school perfectly reforms wayward girls to fit their surroundings' exact desires.",https://www.imdb.com/video/imdb/vi3557014553,tt6127004,6.6,70,Cinemascore,NA
Synonyms,Synonymes,2019,"Synonymes is a movie starring Tom Mercier, Quentin Dolmaire, and Louise Chevillotte. A young Israeli man absconds to Paris to flee his nationality, aided by his trusty Franco-Israeli dictionary.",https://www.imdb.com/video/imdb/vi3210263065,tt7016254,6.8,,Cinemascore,NA
The Current War,The Current War,2019,"The Current War is a movie starring Tuppence Middleton, Tom Holland, and Benedict Cumberbatch. The dramatic story of the cutthroat race between electricity titans Thomas Edison and George Westinghouse to determine whose electrical...",https://www.imdb.com/video/imdb/vi288013337,tt2140507,6.3,32,Cinemascore,NA
The Great Alaskan Race,The Great Alaskan Race,2019,"The Great Alaskan Race is a movie starring Brian Presley, Treat Williams, and Brad Leland. In 1925's historic great race of mercy, a group of brave mushers travel 700 miles to save the small children of Nome, Alaska from a deadly...",NA,tt7066546,8.1,,Cinemascore,NA
The Kill Team,The Kill Team,2019,"The Kill Team is a movie starring Alexander Skarsgård, Nat Wolff, and Adam Long. A young American soldier in Afghanistan is disturbed by his commanding officer's behavior and is faced with a moral dilemma.",https://www.imdb.com/video/imdb/vi3276061721,tt6196936,7.3,100,Cinemascore,NA
Western Stars,Western Stars,2019,Western Stars is a movie starring Bruce Springsteen. Live concert performance of Bruce Springsteen singing songs from his album 'Western Stars'.,https://www.imdb.com/video/imdb/vi1884011545,tt10687158,7.9,100,Cinemascore,NA
Arctic Dogs,Arctic Justice,2019,"Arctic Justice is a movie starring James Franco, Jeremy Renner, and Alec Baldwin. Swifty the Arctic Fox works in the mailroom of the Arctic Blast Delivery Service but dreams of one day becoming a Top Dog (the Arctic's star husky...",https://www.imdb.com/video/imdb/vi731889433,tt4426464,NA,,Cinemascore,NA
Harriet,Harriet,2019,"Harriet is a movie starring Jennifer Nettles, Joe Alwyn, and Janelle Monáe. The extraordinary tale of Harriet Tubman's escape from slavery and transformation into one of America's greatest heroes, whose courage, ingenuity, and...",https://www.imdb.com/video/imdb/vi3345333273,tt4648786,5.3,59,Cinemascore,NA
Inside Game,Inside Game,2019,"Inside Game is a movie starring Lindsey Morgan, Scott Wolf, and Michael O'Keefe. In 2007, when NBA referee Tim Donaghy (Eric Mabius) got caught betting on games he worked, he said two men associated with the Gambino crime family - a...",NA,tt8591260,NA,,Cinemascore,NA
Motherless Brooklyn,Motherless Brooklyn,2019,"Motherless Brooklyn is a movie starring Bruce Willis, Edward Norton, and Cherry Jones. Set against the backdrop of 1950s New York, Motherless Brooklyn follows Lionel Essrog, a lonely private detective afflicted with Tourette's...",https://www.imdb.com/video/imdb/vi800112409,tt0385887,8.0,63,Cinemascore,NA
Terminator Dark Fate,Terminator: Dark Fate,2019,"Terminator: Dark Fate is a movie starring Linda Hamilton, Arnold Schwarzenegger, and Mackenzie Davis. Sarah Connor and a hybrid cyborg human must protect a young girl from a newly modified liquid Terminator from the future.",https://www.imdb.com/video/imdb/vi3787112217,tt6450804,NA,,Cinemascore,NA
The Irishman,The Irishman,2019,"The Irishman is a movie starring Robert De Niro, Anna Paquin, and Al Pacino. A mob hitman recalls his possible involvement with the slaying of Jimmy Hoffa.",https://www.imdb.com/video/imdb/vi2711535385,tt1302006,8.5,100,Cinemascore,NA
Waves,Waves,2019,"Waves is a movie starring Taylor Russell, Kelvin Harrison Jr., and Alexa Demie. Two young couples navigate through the emotional minefield of growing up and falling in love.",https://www.imdb.com/video/imdb/vi597933849,tt8652728,7.8,85,Cinemascore,NA
Marriage Story,Marriage Story,2019,"Marriage Story is a movie starring Merritt Wever, Scarlett Johansson, and Laura Dern. Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.",https://www.imdb.com/video/imdb/vi2337061913,tt7653254,7.8,100,Cinemascore,NA
Doctor Sleep,Doctor Sleep,2019,"Doctor Sleep is a movie starring Rebecca Ferguson, Ewan McGregor, and Jacob Tremblay. Years following the events of ""The Shining,"" a now-adult Dan Torrance meets a young girl with similar powers as his and tries to protect her from...",https://www.imdb.com/video/imdb/vi212254489,tt5606664,NA,,Cinemascore,NA
Honey Boy,Honey Boy,2019,"Honey Boy is a movie starring Shia LaBeouf, Lucas Hedges, and Noah Jupe. A young actor's stormy childhood and early adult years as he struggles to reconcile with his father and deal with his mental health.",https://www.imdb.com/video/imdb/vi308067353,tt8151874,6.4,96,Cinemascore,NA
Last Christmas,Last Christmas,2019,"Last Christmas is a movie starring Emilia Clarke, Emma Thompson, and Henry Golding. Kate is a young woman subscribed to bad decisions. Her last date with disaster? That of having accepted to work as Santa's elf for a department...",https://www.imdb.com/video/imdb/vi11321113,tt8623904,NA,,Cinemascore,NA
Midway,Midway,2019,"Midway is a movie starring Mandy Moore, Luke Evans, and Patrick Wilson. The story of the Battle of Midway, told by the leaders and the sailors who fought it.",https://www.imdb.com/video/imdb/vi3198992153,tt6924650,NA,,Cinemascore,NA
Mr. Toilet: The World’s #2 Man,NA,2019,NA,NA,NA,NA,,Cinemascore,NA
Playing With Fire,Playing with Fire,2019,"Playing with Fire is a movie starring Judy Greer, John Leguizamo, and John Cena. A crew of rugged firefighters meet their match when attempting to rescue three rambunctious kids.",https://www.imdb.com/video/imdb/vi3540368409,tt9134216,NA,,Cinemascore,NA
Mickey And The Bear,Mickey and the Bear,2019,"Mickey and the Bear is a movie starring Camila Morrone, James Badge Dale, and Calvin Demba. Faced with the responsibility to take care of her addict, veteran father, headstrong teen Mickey Peck keeps her household afloat.",NA,tt9614440,7.5,100,Cinemascore,NA
Charlie's Angels (2019),Charlie's Angels,2019,"Charlie's Angels is a movie starring Naomi Scott, Sam Claflin, and Elizabeth Banks. Reboot of the 2000 action comedy based on the 1970s television series. A new generation of private detectives working for the mysterious Charlie.",https://www.imdb.com/video/imdb/vi1479326745,tt5033998,NA,,Cinemascore,NA
Dolemite Is My Name,Dolemite Is My Name,2019,"Dolemite Is My Name is a movie starring Eddie Murphy, Kodi Smit-McPhee, and Wesley Snipes. Eddie Murphy portrays real-life legend Rudy Ray Moore, a comedy and rap pioneer who proved naysayers wrong when his hilarious, obscene,...",https://www.imdb.com/video/imdb/vi1363393561,tt8526872,6.6,97,Cinemascore,NA
